year,word,freq
2010,ass,0
2010,bear,1
2010,bird,0
2010,bull,0
2010,camel,0
2010,canine,0
2010,cat,12
2010,cattle,0
2010,chicken,0
2010,cow,1
2010,dog,26
2010,donkey,0
2010,elephant,0
2010,feline,2
2010,goat,0
2010,horse,0
2010,kitten,0
2010,lion,0
2010,mare,0
2010,mule,0
2010,parrot,0
2010,puppy,4
2010,rooster,0
2010,sheep,1
2010,stray,6
2010,tiger,0
2011,ass,0
2011,bear,0
2011,bird,0
2011,bull,0
2011,camel,0
2011,canine,0
2011,cat,0
2011,cattle,0
2011,chicken,0
2011,cow,0
2011,dog,0
2011,donkey,0
2011,elephant,0
2011,feline,0
2011,goat,0
2011,horse,0
2011,kitten,0
2011,lion,0
2011,mare,0
2011,mule,0
2011,parrot,0
2011,puppy,0
2011,rooster,0
2011,sheep,0
2011,stray,0
2011,tiger,0
2012,ass,0
2012,bear,0
2012,bird,2
2012,bull,1
2012,camel,0
2012,canine,0
2012,cat,2
2012,cattle,0
2012,chicken,0
2012,cow,0
2012,dog,10
2012,donkey,2
2012,elephant,0
2012,feline,0
2012,goat,0
2012,horse,2
2012,kitten,2
2012,lion,0
2012,mare,0
2012,mule,1
2012,parrot,1
2012,puppy,5
2012,rooster,1
2012,sheep,0
2012,stray,6
2012,tiger,0
2013,ass,0
2013,bear,0
2013,bird,0
2013,bull,0
2013,camel,0
2013,canine,0
2013,cat,0
2013,cattle,0
2013,chicken,0
2013,cow,0
2013,dog,0
2013,donkey,0
2013,elephant,0
2013,feline,0
2013,goat,0
2013,horse,0
2013,kitten,0
2013,lion,2
2013,mare,0
2013,mule,0
2013,parrot,0
2013,puppy,0
2013,rooster,0
2013,sheep,0
2013,stray,0
2013,tiger,20
2014,ass,0
2014,bear,0
2014,bird,0
2014,bull,2
2014,camel,0
2014,canine,0
2014,cat,1
2014,cattle,0
2014,chicken,0
2014,cow,0
2014,dog,14
2014,donkey,4
2014,elephant,0
2014,feline,0
2014,goat,0
2014,horse,0
2014,kitten,0
2014,lion,2
2014,mare,0
2014,mule,0
2014,parrot,0
2014,puppy,12
2014,rooster,0
2014,sheep,0
2014,stray,8
2014,tiger,3
2015,ass,0
2015,bear,0
2015,bird,0
2015,bull,0
2015,camel,0
2015,canine,0
2015,cat,0
2015,cattle,0
2015,chicken,0
2015,cow,1
2015,dog,0
2015,donkey,0
2015,elephant,5
2015,feline,0
2015,goat,0
2015,horse,0
2015,kitten,0
2015,lion,0
2015,mare,0
2015,mule,0
2015,parrot,0
2015,puppy,0
2015,rooster,0
2015,sheep,1
2015,stray,0
2015,tiger,0
2016,ass,0
2016,bear,1
2016,bird,1
2016,bull,0
2016,camel,0
2016,canine,0
2016,cat,2
2016,cattle,0
2016,chicken,0
2016,cow,2
2016,dog,28
2016,donkey,12
2016,elephant,2
2016,feline,0
2016,goat,1
2016,horse,2
2016,kitten,0
2016,lion,0
2016,mare,1
2016,mule,0
2016,parrot,0
2016,puppy,0
2016,rooster,0
2016,sheep,0
2016,stray,18
2016,tiger,0
2017,ass,0
2017,bear,4
2017,bird,4
2017,bull,0
2017,camel,24
2017,canine,2
2017,cat,3
2017,cattle,1
2017,chicken,0
2017,cow,2
2017,dog,9
2017,donkey,2
2017,elephant,3
2017,feline,0
2017,goat,0
2017,horse,2
2017,kitten,2
2017,lion,0
2017,mare,0
2017,mule,0
2017,parrot,0
2017,puppy,0
2017,rooster,0
2017,sheep,0
2017,stray,10
2017,tiger,0
2018,ass,3
2018,bear,3
2018,bird,0
2018,bull,0
2018,camel,0
2018,canine,0
2018,cat,0
2018,cattle,0
2018,chicken,0
2018,cow,0
2018,dog,12
2018,donkey,22
2018,elephant,4
2018,feline,0
2018,goat,0
2018,horse,3
2018,kitten,0
2018,lion,1
2018,mare,0
2018,mule,0
2018,parrot,0
2018,puppy,0
2018,rooster,0
2018,sheep,0
2018,stray,0
2018,tiger,0
2019,ass,0
2019,bear,1
2019,bird,1
2019,bull,0
2019,camel,0
2019,canine,0
2019,cat,17
2019,cattle,0
2019,chicken,1
2019,cow,0
2019,dog,26
2019,donkey,1
2019,elephant,0
2019,feline,0
2019,goat,0
2019,horse,2
2019,kitten,0
2019,lion,9
2019,mare,0
2019,mule,0
2019,parrot,0
2019,puppy,1
2019,rooster,0
2019,sheep,0
2019,stray,2
2019,tiger,9
2020,ass,0
2020,bear,0
2020,bird,0
2020,bull,7
2020,camel,0
2020,canine,1
2020,cat,3
2020,cattle,0
2020,chicken,0
2020,cow,0
2020,dog,25
2020,donkey,0
2020,elephant,0
2020,feline,0
2020,goat,0
2020,horse,0
2020,kitten,0
2020,lion,0
2020,mare,0
2020,mule,0
2020,parrot,0
2020,puppy,0
2020,rooster,0
2020,sheep,0
2020,stray,14
2020,tiger,0
2021,ass,0
2021,bear,0
2021,bird,0
2021,bull,2
2021,camel,0
2021,canine,1
2021,cat,13
2021,cattle,0
2021,chicken,1
2021,cow,0
2021,dog,59
2021,donkey,0
2021,elephant,9
2021,feline,0
2021,goat,1
2021,horse,0
2021,kitten,3
2021,lion,10
2021,mare,0
2021,mule,0
2021,parrot,0
2021,puppy,2
2021,rooster,0
2021,sheep,0
2021,stray,21
2021,tiger,0
2022,ass,0
2022,bear,0
2022,bird,0
2022,bull,0
2022,camel,0
2022,canine,0
2022,cat,8
2022,cattle,0
2022,chicken,2
2022,cow,0
2022,dog,9
2022,donkey,0
2022,elephant,0
2022,feline,0
2022,goat,0
2022,horse,0
2022,kitten,0
2022,lion,0
2022,mare,0
2022,mule,0
2022,parrot,0
2022,puppy,0
2022,rooster,0
2022,sheep,0
2022,stray,5
2022,tiger,0
2023,ass,0
2023,bear,4
2023,bird,2
2023,bull,0
2023,camel,0
2023,canine,1
2023,cat,9
2023,cattle,0
2023,chicken,0
2023,cow,0
2023,dog,8
2023,donkey,1
2023,elephant,2
2023,feline,0
2023,goat,1
2023,horse,11
2023,kitten,0
2023,lion,7
2023,mare,0
2023,mule,0
2023,parrot,0
2023,puppy,0
2023,rooster,0
2023,sheep,0
2023,stray,10
2023,tiger,0
2024,ass,0
2024,bear,0
2024,bird,0
2024,bull,0
2024,camel,24
2024,canine,1
2024,cat,4
2024,cattle,1
2024,chicken,0
2024,cow,1
2024,dog,35
2024,donkey,6
2024,elephant,3
2024,feline,0
2024,goat,1
2024,horse,2
2024,kitten,0
2024,lion,0
2024,mare,0
2024,mule,0
2024,parrot,0
2024,puppy,0
2024,rooster,0
2024,sheep,1
2024,stray,14
2024,tiger,0
